LOCA	num.tree2	num.trap	parcelle	idtrap	strate	Cis.boleti	Mycetochara.maura	Quedius.dilatatus	Anaspis.garneysi	Anaspis.regimbarti	Ischnomera.caerulea	Dicerca.alni	Ampedus.sanguinolentus	Sulcacis.nitidus	Dissoleucas.niveirostris	Valgus.hemipterus	Sulcacis.fronticornis	Variimorda.villosa	Plagionotus.detritus	Mordella.brachyura	Orthocis.lucasi	Rhizophagus.fenestralis	Pseudeuparius.sepicola	Agrilus.hastulifer	Agrilus.obscuricollis	Scolytus.carpini	Phloiotrya.tenuis	Dromaeolus.barnabita	Synchita.undata	Isorhipis.melasoides	Isorhipis.marmottani	Leiopus.femoratus	Xylotrechus.antilope	Triplax.lepida	Cis.pygmaeus	Gnorimus.nobilis	Agrilus.laticornis	Anaspis.maculata	Dendrophilus.punctatus	Rhaphitropis.oxyacanthae	Agrilus.olivicolor	Anthaxia.ignipennis	Poecilium.rufipes	Dasytes.aeratus	Paratillus.carus	Ampedus.rufipennis	Attagenus.punctatus	Bitoma.crenata	Cis.comptus	Cis.fusciclavis	Cis.rugulosus	Dermestes.bicolor	Diplocoelus.fagi	Dorcatoma.minor	Eidophelus.fagi	Hemicoelus.costatus	Leptura.aurulenta	Lichenophanes.varius	Melandrya.caraboides	Mycetophagus.fulvicollis	Nematodes.filum	Platysoma.compressum	Plegaderus.dissectus	Rhagium.mordax	Rhizophagus.perforatus	Stictoleptura.scutellata	Symbiotes.gibberosus	Synchita.separanda	Taphrorychus.bicolor	Tillus.elongatus	Melasis.buprestoides	Anaglyptus.mysticus	Dorcatoma.substriata	Eucnemis.capucina	Gnathoncus.buyssoni	Xylotrechus.arvicola	Ampedus.quercicola	Anaspis.lurida	Cerambyx.scopolii	Cerylon.fagi	Dasytes.caeruleus	Endophloeus.markovichianus	Gasterocercus.depressirostris	Hemicoelus.fulvicornis	Lucanus.cervus	Melandrya.barbata	Potosia.fieberi	Ptinomorphus.imperialis	Allecula.rhenana	Mycetophagus.populi	Triplax.rufipes	Stenocorus.meridianus	Mycetophagus.multipunctatus	Ptilinus.pectinicornis	Triplax.russica	Necydalis.ulmi	Hylesinus.crenatus	Hylesinus.wachtli	Anobium.hederae	Anobium.inexspectatum	Choragus.sheppardi	Kissophagus.vicinus	Mesocoelopus.niger	Globicornis.fasciata	Mordellistena.variegata	Variimorda.mendax	Scolytus.rugulosus	Alphitophagus.bifasciatus	Hololepta.plana	Trypophloeus.granulatus	Abdera.biflexuosa	Aspidiphorus.lareyniei	Obrium.cantharinum	Euglenes.oculatus	Cerylon.deplanatum	Hoshihananomia.gacognei	Trypophloeus.binodulus	Mordellistena.neuwaldeggiana	Lathropus.sepicola	Aegomorphus.francottei	Agrilus.angustulus	Agrilus.sulcicollis	Anaspis.fasciata	Atomaria.analis	Cartodere.bifasciata	Cerambyx.cerdo	Cetonia.aurata	Cetonischema.speciosissima	Chrysobothris.affinis	Cis.striatulus	Cis.vestitus	Cis.villosulus	Clerus.mutillarius	Clytus.tropicus	Conopalpus.brevicollis	Coraebus.undatus	Cortodera.humeralis	Cryptarcha.strigata	Cryptarcha.undata	Cryptophilus.integer	Cyclorhipidion.bodoanum	Dasytes.nigrocyaneus	Dasytes.pauperculus	Deroplia.genei	Dorcatoma.androgyna	Dorcatoma.chrysomelina	Dryocoetes.villosus	Eulagius.filicornis	Exocentrus.adspersus	Gastrallus.immarginatus	Gnathoncus.rotundatus	Grammoptera.abdominalis	Grammoptera.ruficornis	Hedobia.pubescens	Lymexylon.navale	Melanopsacus.grenieri	Microrhagus.pyrenaeus	Mycetophagus.piceus	Notolaemus.unifasciatus	Orchesia.undulata	Orthocis.alni	Oxylaemus.cylindricus	Oxylaemus.variolosus	Pedostrangalia.revestita	Pentaphyllus.testaceus	Phaeochrotes.pudens	Platypus.cylindrus	Poecilium.alni	Poecilium.pusillum	Potosia.cuprea	Pseudosphegesthes.cinerea	Pyrrhidium.sanguineum	Rhagium.sycophanta	Ropalopus.femoratus	Salpingus.tapirus	Scolytus.intricatus	Soronia.oblonga	Taphrorychus.villifrons	Teredus.cylindricus	Tomoxia.bucephala	Tribolium.castaneum	Trichoferus.pallidus	Trox.scaber	Xyleborus.monographus	Xylopertha.retusa	Dorcus.parallelipipedus	Leiopus.linnei	Platystomos.albinus	Phymatodes.testaceus	Mesosa.nebulosa	Ampedus.nigerrimus	Meliboeus.fulgidicollis	Xyleborus.dryographus	Agrilus.graminis	Brachygonus.ruficeps	Chlorophorus.glabromaculatus	Brachygonus.megerlei	Calambus.bipustulatus	Cariderus.aeneus	Colydium.elongatum	Conopalpus.testaceus	Cryptolestes.duplicatus	Hyperisus.plumbeum	Procraerus.tibialis	Tritoma.bipustulata	Trypodendron.signatum	Lissodema.denticolle	Anoplodera.rufipes	Tropideres.albirostris	Vincenzellus.ruficollis	Callimus.angulatus	Plagionotus.arcuatus	Oligomerus.brunneus	Abdera.quadrifasciata	Hemicrepidius.hirtus	Silvanus.unidentatus	Symbiotes.latus	Anisoxya.fuscula	Gastrallus.laevigatus	Gnathoncus.communis	Orthocis.coluber	Xestobium.rufovillosum	Mesosa.curculionoides	Scraptia.fuscula	Pogonocherus.hispidus	Brachygonus.bouyoni	Sulcacis.bidentulus	Ampedus.pomonae	Abraeus.roubali	Agrilus.viridis	Soronia.grisea	Agrilus.cinctus	Phloeotribus.rhododactylus	Phloeotribus.sharpi	Colobicus.hirtus	Eidophelus.caucasicus	Ernoporus.tiliae	Hylastinus.obscurus	Scolytus.pygmaeus	Scolytus.scolytus	Hemicoelus.canaliculatus	Ctesias.serra	Ennearthron.cornutum	Opilo.mollis	Anaspis.frontalis	Anaspis.flava	Attagenus.pellio	Placonotus.testaceus	Aspidiphorus.orbiculatus	Monotoma.longicollis	Globicornis.nigripes	Clytus.arietis	Cerylon.ferrugineum	Dacne.bipustulata	Dorcatoma.setosella	Hylis.olexai	Latridius.hirtus	Megatoma.undata	Platycerus.caraboides	Prionocyphon.serricornis	Aulonothroscus.brevicollis	Cis.micans	Monotoma.picipes	Rutpela.maculata	Stenagostus.rhombeus	Salpingus.planirostris	Salpingus.ruficollis	Rhizophagus.bipustulatus	Litargus.connexus	Cerylon.histeroides	Opilo.pallidus	Pyrochroa.coccinea	Tenebroides.fuscus	Anthrenus.fuscus	Anthrenus.pimpinellae	Attagenus.unicolor	Carcinops.pumilio	Cryptolestes.pusillus	Nacerdes.carniolica	Alphitobius.diaperinus	Gnathoncus.nidorum	Palorus.depressus	Ampedus.elongatulus	Anisandrus.dispar	Cardiophorus.vestigialis	Lygistopterus.sanguineus	Paromalus.flavicornis	Pycnomerus.terebrans	Xylosandrus.germanus	Liocola.marmorata	Platydema.violacea	Ampedus.pomorum	Coxelus.pictus	Melanotus.villosus	Nemozoma.elongatum	Corticeus.suberis	Aplocnemus.impressus	Tilloidea.unifasciata	Anthrenus.scrophulariae	Xyleborinus.saxesenii	Cis.festivus	Ampedus.balteatus	Ahasverus.advena	Gonodera.luperus	Typhaea.stercorea	Uleiota.planatus	Rhopalodontus.perforatus	Cryptolestes.ferrugineus	Prionychus.fairmairii	Silvanoprus.fagi	Cartodere.constricta	Dermestes.lardarius	Dermestes.murinus	Dermestes.undulatus	Allonyx.quadrimaculatus	Hylis.simonae	Eucinetus.haemorrhoidalis	Dermestes.mustelinus	Leptophloeus.alternans	Pediacus.dermestoides	Clambus.simsoni	Aulonium.ruficorne	Nalassus.laevioctostriatus	Anthribus.nebulosus	Cartodere.delamarei	Monotoma.bicolor	Psilothrix.viridicoerulea	Tolida.artemisiae	Ipidia.binotata	Berginus.tamarisci	Cryptolestes.corticinus	Allandrus.therondi	Thanasimus.formicarius	Rhagium.bifasciatum	Anaspis.sp.	Anthrenus.sp.	Aplocnemus.sp.	Attagenus.sp.	CLAMBIDAE	Clambus.sp.	Colydium.noblecourti	Corticariinae	CORYLOPHIDAE	Cryptolestes.sp.	Enicmus.sp.	Epuraea.sp.	Malthininae	Phloeotribus.sp.	PTILIIDAE	Rhizophagus.sp.	Stagetus.sp.	Symbiotes.sp.	Thanasimus.sp.	Xyletinus.sp.
Troncais	10	1	413	Troncais101	supra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	0	0	2	0	5	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0
Troncais	10	2	413	Troncais102	intra.sup	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	1	9	0	0	2	4	0	0	0	0	0	0	1	0	25	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	4	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	1	0	1	0	0	0	0	8	1	0	3	0	0	0	1	0	0	0	0	0
Troncais	10	3	413	Troncais103	intra.inf	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	14	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	0	2	1	1	0	0	0	0	0	0	0	4	1	0	0	1	0	2	0	3	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	13	2	0	32	0	0	0	0	0	0	0	0	0
Troncais	10	4	413	Troncais104	infra	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	1	0	0	0	2	0	0	0	0	8	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	9	0	1	0	0	0	2	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	9	2	0	15	0	0	0	0	0	0	1	0	0
Vierzon	11	1	81	Vierzon111	supra	1	0	0	0	1	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	6	0	1	9	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	1	0	0	0	1	0	0	0	6	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	23	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	2	1	0	28	1	0	0	0	0	0	1	1	3	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	1	0	0	32	0	0	0	0	1	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	1	0	0	1	0	1	0	0	1	0	0	34	7	0	1	0	0	0	2	0	0	0	0	0
Vierzon	11	2	81	Vierzon112	intra.sup	1	0	0	0	9	2	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	2	0	0	5	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	1	0	0	2	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	4	0	0	0	2	5	1	3	0	0	4	11	0	1	0	1	1	0	63	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	0	0	1	0	1	0	0	0	19	0	2	0	0	0	1	1	6	0	1	0	0	0	0	1	2	0	0	1	3	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	5	0	0	1	6	0	0	0	1	0	0	4	0	0	0	6	1	0	0	0	0	0	0	1	0	134	0	0	0	1	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	59	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	18	0	0	10	0	0	0	1	0	0	0	0	0
Vierzon	11	3	81	Vierzon113	intra.inf	0	0	0	0	4	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	3	0	0	0	1	2	0	9	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	2	3	0	0	2	6	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	39	1	0	36	0	0	0	0	0	0	0	0	0
Vierzon	11	4	81	Vierzon114	infra	0	2	1	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	2	0	1	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	1	0	0	4	0	0	0	6	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	32	3	0	11	0	0	0	0	0	1	0	0	0
Vierzon	12	1	22	Vierzon121	supra	0	0	0	0	1	0	0	9	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	2	0	17	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	0	0	0	11	0	0	1	1	0	0	0	0	0	0	18	0	7	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	3	0	0	0	0	1	0	3	1	0	2	0	0	4	1	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	11	0	0	0	1	3	0	19	0	0	0	0	0	0	0	0	0	0	0	1	0	25	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	21	3	0	1	0	0	1	1	0	0	0	0	0
Vierzon	12	2	22	Vierzon122	intra.sup	0	3	0	1	0	1	0	12	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	4	0	4	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	4	0	5	0	0	1	4	0	0	0	2	0	0	5	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	4	7	3	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	3	0	0	0	2	0	0	0	1	0	0	0	1	0	0	3	1	1	1	0	0	0	0	0	0	6	0	1	0	8	2	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	124	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	11	1	0	30	0	0	0	0	0	0	0	0	0
Vierzon	12	3	22	Vierzon123	intra.inf	0	3	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	224	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	18	0	0	0	0	0	0	1	0	0
Vierzon	12	4	22	Vierzon124	infra	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	1	1	0	3	0	1	0	0	0	1	13	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	3	0	0	1	0	2	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	2	1	9	0	0	0	0	1	0	0	0	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	5	0	15	0	0	0	0	0	0	0	0	0
Vierzon	13	1	63	Vierzon131	supra	0	0	0	0	4	4	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	13	1	13	0	2	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	1	7	0	0	16	1	0	0	0	0	0	0	20	0	11	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	1	0	0	0	1	0	0	0	0	1	8	0	49	0	0	0	0	0	12	0	0	0	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	30	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	20	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	1	0	0	0	0	0	0	0	0	0	0	24	4	0	1	0	0	0	2	0	0	0	0	0
